"","date(LT)","Latitude","Longitude","AE51_BC (ug/m3)","AE51_BC_NR (ug/m3)","AE51_BC_NR_LC (ug/m3)","DT8530_PM2.5 (ug/m3)","DT8530_PM2.5_RHC (ug/m3)","DT8530_PM2.5_RHC_Ref (ug/m3)","DT8530_PM2.5_Ref (ug/m3)","RH(%)","CPC3007_Particle Concentration (#/cm3)","LI-COR_CO2 (ppm)"
"16",2019-09-25 09:59:39,13.0063393805,77.6210394502,21.099,21.099,27.3587751905031,285,195.991832762384,195.991832762384,285,0.717,406213.5,472
"17",2019-09-25 09:59:40,13.006374836,77.6210669428,23.759,23.759,30.8097806429526,275,189.114926349669,189.114926349669,275,0.717,414733,468
"18",2019-09-25 09:59:41,13.0064158235,77.6211012248,16.845,16.845,21.8448868554671,263,180.86263865441,180.86263865441,263,0.717,416850.5,482
"19",2019-09-25 09:59:42,13.0064659473,77.6211399492,69.646,69.646,90.3333889987462,258,177.773895827874,177.773895827874,258,0.716,412714.5,508
"20",2019-09-25 09:59:43,13.0065226089,77.6211851276,81.244,81.244,105.396881724789,244,168.127250317835,168.127250317835,244,0.716,397886.5,524
"21",2019-09-25 09:59:44,13.0065858923,77.6212321501,124.781,124.781,161.927494519091,233,160.547743131375,160.547743131375,233,0.716,372812,537
"22",2019-09-25 09:59:45,13.0066466611,77.621284537,125.236,125.236,162.567346836548,204,140.565406003436,140.565406003436,204,0.716,360343.5,534
"23",2019-09-25 09:59:46,13.0067075137,77.6213316433,111.454,111.454,144.716187551674,190,131.175339520659,131.175339520659,190,0.715,346010.5,533
"24",2019-09-25 09:59:47,13.0067681987,77.6213778276,93.508,93.508,121.443108319443,188,129.794546473073,129.794546473073,188,0.715,345306.5,530
"25",2019-09-25 09:59:48,13.0068302248,77.6214246824,73.471,73.471,95.4370582180431,191,131.865736044452,131.865736044452,191,0.715,346571.5,532
"26",2019-09-25 09:59:49,13.0068943463,77.6214709505,71.582,71.582,92.999776695933,203,140.150494329967,140.150494329967,203,0.715,364413.5,535
"27",2019-09-25 09:59:50,13.0069597252,77.6215194818,81.621,81.621,106.063096449869,210,144.983269996518,144.983269996518,210,0.715,379093,530
"28",2019-09-25 09:59:51,13.0070263613,77.6215722878,89.312,89.312,116.082703067188,227,156.720010900998,156.720010900998,227,0.715,388476,521
"29",2019-09-25 09:59:52,13.007092746,77.6216229144,68.522,68.522,89.0760680878755,241,166.385562234099,166.385562234099,241,0.715,374847,512
"30",2019-09-25 09:59:53,13.0071572866,77.6216737088,59.418,59.418,77.2529397559533,231,159.48159699617,159.48159699617,231,0.715,356631,506
